Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Maxx Williams,ARI,TE,0,0,0,14.3,153.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bushman,KC,TE,0,0,0,14,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,CHI,TE,0,0,0,13.3,132.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Harris,LAR,TE,0,0,0,12,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Ferguson,DAL,TE,0,0,0,13.1,136.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Eubanks,CIN,TE,0,0,0,12,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alize Mack,GB,TE,0,0,0,12,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Kroft,SF,TE,0,0,0,11.6,126.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Boyle,BAL,TE,0,0,0,11.3,106.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Myarick,NYG,TE,0,0,0,11.8,116.5,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Sample,CIN,TE,0,0,0,11.6,113,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Yeboah,NYJ,TE,0,0,0,10.5,112.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Bell,KC,TE,0,0,0,12.2,112.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Wright,DET,TE,0,0,0,10.8,104.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Gentry,PIT,TE,0,0,0,12.1,112.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sprinkle,DAL,TE,0,0,0,11.2,108.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Gray,KC,TE,0,0,0,10.6,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brycen Hopkins,LAR,TE,0,0,0,10,106,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Heyward,PIT,TE,0,0,0,11.6,116.5,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jody Fortson,KC,TE,0,0,0,9.3,99,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Farrell,JAC,TE,0,0,0,9.8,90.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ko Kieft,TB,TE,0,0,0,9.2,91.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,NO,TE,0,0,0,7.8,85.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Anderson,ARI,TE,0,0,0,8.1,84.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Manhertz,JAC,TE,0,0,0,6.5,69.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dwelley,SF,TE,0,0,0,8.7,79,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Calcaterra,PHI,TE,0,0,0,6.9,70.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre' McKitty,LAC,TE,0,0,0,8.4,80.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teagan Quitoriano,HOU,TE,0,0,0,8,81.6,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Mundt,MIN,TE,0,0,0,6.9,70.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Rader,PIT,TE,0,0,0,8.6,69.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean McKeon,DAL,TE,0,0,0,7,71.2,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesper Horsted,LV,TE,0,0,0,6.9,74.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Muse,MIN,TE,0,0,0,6.9,70.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwan Johnson,NO,TE,0,0,0,4.7,52.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Mitchell,DET,TE,0,0,0,6.9,62.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Sweeney,BUF,TE,0,0,0,6.5,61.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Asiasi,NE,TE,0,0,0,5.2,64.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Turner,WAS,TE,0,0,0,6.1,64,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Tomlinson,DEN,TE,0,0,0,5.9,60,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John FitzPatrick,ATL,TE,0,0,0,6.4,59.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Ellefson,MIN,TE,0,0,0,5.2,54.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyCole Pruitt,ATL,TE,0,0,0,6.3,61.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Long,MIA,TE,0,0,0,5.9,56.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyree Jackson,PHI,TE,0,0,0,5.5,53.8,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hudson,TEN,TE,0,0,0,5.4,53.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chigoziem Okonkwo,TEN,TE,0,0,0,5.3,55.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Pinkney,LAR,TE,0,0,0,4.9,50.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Parkinson,SEA,TE,0,0,0,5.4,52.2,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Stoll,PHI,TE,0,0,0,5.6,60.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Bowers,LV,TE,0,0,0,4,42.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Gilliam,BUF,TE,0,0,0,4.2,38.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Kampmoyer,LAC,TE,0,0,0,3.8,39.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Rodgers,PHI,TE,0,0,0,3.9,39.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Saubert,DEN,TE,0,0,0,4.1,39.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jace Sternberger,PIT,TE,0,0,0,4.2,40,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Hollister,LV,TE,0,0,0,3.9,35.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Oliver,BAL,TE,0,0,0,3.7,36,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Ruckert,NYJ,TE,0,0,0,3.7,36.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Woerner,SF,TE,0,0,0,3.5,31.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antony Auclair,HOU,TE,0,0,0,4,38.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Mabry,SEA,TE,0,0,0,3.6,36.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller Forristall,CLE,TE,0,0,0,3.5,35,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Hesse,ATL,TE,0,0,0,3.6,33.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nakia Griffin-Stewart,CLE,TE,0,0,0,3.3,32.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Wilcox,CIN,TE,0,0,0,1.8,18.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Sokol,NE,TE,0,0,0,1.8,18.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Sullivan,CAR,TE,0,0,0,1.8,18.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cethan Carter,MIA,TE,0,0,0,0.9,8.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deon Yelder,ARI,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Thompson,CAR,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Togiai,PHI,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Fumagalli,SF,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Holtz,NO,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Wesco,NYJ,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Franks,KC,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Hudson,NYG,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo Bills,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,43.3,16.3,10,15.4,2.8,0.6,331.5,"5,282.90",0,0,0
Pittsburgh Steelers,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,48.9,14.3,10.3,15.6,2.5,0.2,392.2,"5,868.10",0,0,0
Dallas Cowboys,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,39.9,16.5,10.6,16.1,3,0.3,373.6,"5,839.60",0,0,0
Green Bay Packers,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,43,16.4,9.4,14.2,2.8,0.2,356.6,"5,596.10",0,0,0
Los Angeles Rams,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,43.5,14.6,10.1,12.8,2.8,0.5,364.3,"5,671.90",0,0,0
New Orleans Saints,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,44,15,9.8,14,2.6,0.2,339.3,"5,617.10",0,0,0
Miami Dolphins,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,44.2,14.6,9.7,16.2,2.6,0.6,373.9,"5,697.90",0,0,0
San Francisco 49ers,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,44.7,13.8,10.5,16.8,2.6,0.2,358.9,"5,511.80",0,0,0
Los Angeles Chargers,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,42.1,13.9,10.8,17.5,2.7,0.6,395.1,"5,862.40",0,0,0
Indianapolis Colts,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,36,15.2,11.3,18,2.7,0.9,364.2,"5,719.30",0,0,0
Minnesota Vikings,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,42.1,14,9.4,14.2,2.8,0.2,389.6,"5,872.40",0,0,0
New England Patriots,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,40.5,15,9.5,13.4,2.5,0.5,367.4,"5,713.60",0,0,0
Cleveland Browns,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,42.8,14.4,8.9,13.5,2.5,0.5,371.2,"5,587.90",0,0,0
Kansas City Chiefs,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,37.8,14.1,10.4,18,2.8,0.5,390.2,"6,011.00",0,0,0
Arizona Cardinals,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,38.9,13.5,11.2,18.7,2.4,0.5,391,"5,836.50",0,0,0
Denver Broncos,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,40.6,14,9,13.8,2.6,0.2,384.3,"5,841.60",0,0,0
Tennessee Titans,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,41.9,13.7,8.8,13.1,2.5,0.2,360.8,"5,783.00",0,0,0
Cincinnati Bengals,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,39.9,14.4,8.9,14.6,2.4,0.6,374.2,"5,919.00",0,0,0
Washington Commanders,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,39.8,13.2,10,15.8,2.5,0.2,389.1,"5,876.50",0,0,0
Baltimore Ravens,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,38.8,13.6,9.6,15,2.6,0.6,356.7,"5,775.00",0,0,0
Chicago Bears,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,41.9,12.4,9.9,15.7,2.3,0.5,401.5,"5,813.90",0,0,0
Carolina Panthers,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,39.4,12.7,9.9,13.7,2.4,0.2,408.5,"5,623.00",0,0,0
Philadelphia Eagles,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,39.7,12.6,8.7,13.5,2.7,0.5,375.8,"5,758.20",0,0,0
New York Giants,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,38.3,12.9,9.3,13.5,2.3,0.5,403,"5,790.50",0,0,0
Seattle Seahawks,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,36.9,12.8,8.9,12,2.2,0.6,399.8,"6,090.00",0,0,0
Houston Texans,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,35.4,12.5,9.4,14.9,2.3,0.2,432.9,"6,388.10",0,0,0
Jacksonville Jaguars,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,38.9,11.8,8.4,11.1,2.2,0.5,427,"6,109.30",0,0,0
Las Vegas Raiders,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,36.3,12,9.4,14.3,2.2,0.5,417.3,"5,794.50",0,0,0
New York Jets,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,36.2,12.2,9.2,15.2,2.3,0.2,435,"6,216.60",0,0,0
Detroit Lions,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,35.5,12.3,9.1,13.4,2.2,0.5,439,"6,242.30",0,0,0
Atlanta Falcons,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,31,12.8,8.9,12.8,2.1,0.2,434.2,"6,122.00",0,0,0
0,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Butker,KC,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,31.6,46.2
Daniel Carlson,LV,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,35.8,37.5
Matt Gay,LAR,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,34.4,41.3
Ryan Succop,TB,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,32.6,47.6
Tyler Bass,BUF,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33.3,45.6
Greg Joseph,MIN,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,34.9,36.9
Matt Prater,ARI,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,33.8,43.5
Mason Crosby,GB,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,32.7,45.2
Evan McPherson,CIN,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,34.5,38.2
Nick Folk,NE,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,33.3,38.7
Brett Maher,DAL,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,31.9,43.8
Rodrigo Blankenship,IND,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,33.9,38.7
Robbie Gould,SF,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,31.9,40.8
Brandon McManus,DEN,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,32.7,40.2
Dustin Hopkins,LAC,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,30.9,42
Chris Boswell,PIT,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,34.4,32.4
Randy Bullock,TEN,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,30.7,40.5
Younghoe Koo,ATL,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,31.4,33.4
Wil Lutz,NO,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,31.2,36.7
Jake Elliott,PHI,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,32.5,32.5
Jason Sanders,MIA,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,31.6,37.6
Graham Gano,NYG,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,32.5,30.5
Austin Seibert,DET,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,30.1,34.3
Cairo Santos,CHI,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,31.9,33.6
Joey Slye,WAS,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,31.4,32.1
James McCourt,JAC,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,31.4,30.2
Zane Gonzalez,CAR,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,30,31.1
Cade York,CLE,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,29.2,33.9
Jason Myers,SEA,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,28.3,33.4
Ka'imi Fairbairn,HOU,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,29,30
Greg Zuerlein,NYJ,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,29.7,30.3
Riley Patterson,DET,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,30.2
0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
